open,high,low,close,volume,date
117.56,119.98,114.15,114.67,423538.0,2022-05-31
115.4,117.87,114.58,115.26,272725.0,2022-06-01
114.8,117.77,111.2,116.87,312379.0,2022-06-02
117.55,120.46,115.23,118.87,225138.0,2022-06-03
120.82,121.0,117.63,118.5,230393.0,2022-06-06
119.1,120.36,117.14,119.41,313707.0,2022-06-07
119.79,123.18,119.3,122.11,306204.0,2022-06-08
122.43,122.72,120.79,121.51,254996.0,2022-06-09
121.46,122.75,118.33,120.67,312480.0,2022-06-10
120.19,122.25,117.47,120.93,333150.0,2022-06-13
121.09,123.68,116.62,118.93,332250.0,2022-06-14
119.07,119.61,114.6,115.31,276231.0,2022-06-15
115.98,118.08,112.31,117.59,145940.0,2022-06-16
117.08,118.97,108.25,109.56,70358.0,2022-06-17
110.54,112.47,110.13,110.65,18403.0,2022-06-21
109.54,109.76,101.53,106.19,416613.0,2022-06-22
104.42,107.05,102.32,104.27,331213.0,2022-06-23
103.99,108.58,103.64,107.62,305960.0,2022-06-24
107.22,110.54,105.6,109.57,268977.0,2022-06-27
110.18,112.22,109.62,111.76,294630.0,2022-06-28
111.86,114.05,109.22,109.78,301016.0,2022-06-29
109.7,110.45,105.1,105.76,342597.0,2022-06-30
106.01,109.34,104.56,108.43,285493.0,2022-07-01
110.75,111.45,97.43,99.5,576315.0,2022-07-05
100.36,102.14,95.1,98.53,429044.0,2022-07-06
98.22,104.48,96.57,102.73,362930.0,2022-07-07
102.22,105.24,101.51,104.79,299690.0,2022-07-08
104.79,105.05,100.89,104.09,298389.0,2022-07-11
103.46,103.49,95.35,95.84,363513.0,2022-07-12
95.89,97.96,93.58,96.3,315723.0,2022-07-13
96.57,97.0,90.56,95.78,349308.0,2022-07-14
96.39,99.03,94.57,97.59,215441.0,2022-07-15
97.27,102.8,95.85,102.6,66376.0,2022-07-18
102.0,104.46,99.84,104.22,34094.0,2022-07-19
103.6,104.39,101.51,102.26,18256.0,2022-07-20
99.91,99.99,94.59,96.35,305925.0,2022-07-21
96.51,97.95,94.23,94.7,292996.0,2022-07-22
95.1,96.94,93.01,96.7,260943.0,2022-07-25
96.33,99.0,94.76,94.98,291338.0,2022-07-26
95.6,98.59,94.3,97.26,309844.0,2022-07-27
98.17,99.84,96.04,96.42,298715.0,2022-07-28
97.3,101.88,96.41,98.62,331035.0,2022-07-29
98.46,98.65,92.42,93.89,348791.0,2022-08-01
93.75,96.47,92.59,94.42,306452.0,2022-08-02
93.83,96.57,90.38,90.66,373564.0,2022-08-03
90.95,91.9,87.55,88.54,316209.0,2022-08-04
88.06,90.76,87.01,89.01,311255.0,2022-08-05
88.46,90.89,87.22,90.76,292550.0,2022-08-08
90.69,92.65,89.05,90.5,292332.0,2022-08-09
90.51,92.43,87.66,91.93,339892.0,2022-08-10
91.55,95.05,91.24,94.34,302809.0,2022-08-11
94.09,94.81,91.16,92.09,244514.0,2022-08-12
91.94,92.1,86.82,89.41,255757.0,2022-08-15
87.93,90.65,85.73,86.53,281963.0,2022-08-16
87.1,89.16,85.88,88.11,207973.0,2022-08-17
87.39,91.46,87.32,90.5,65024.0,2022-08-18
90.39,92.09,88.38,90.77,34249.0,2022-08-19
89.65,91.26,86.6,90.23,13712.0,2022-08-22
90.55,94.22,90.42,93.74,272323.0,2022-08-23
93.78,95.4,92.79,94.89,309259.0,2022-08-24
95.35,95.76,92.29,92.52,267455.0,2022-08-25
93.06,94.02,91.08,93.06,271721.0,2022-08-26
92.96,97.37,92.29,97.01,269210.0,2022-08-29
96.9,97.66,90.54,91.64,369652.0,2022-08-30
92.31,92.73,88.27,89.55,327567.0,2022-08-31
88.83,89.63,85.98,86.61,287536.0,2022-09-01
86.56,89.66,86.35,86.87,256223.0,2022-09-02
88.95,89.48,86.18,86.88,392625.0,2022-09-06
86.93,87.76,81.5,81.94,364766.0,2022-09-07
81.91,84.25,81.2,83.54,307373.0,2022-09-08
82.8,87.2,82.68,86.79,265221.0,2022-09-09
86.25,89.1,85.16,87.78,245965.0,2022-09-12
88.09,89.31,85.06,87.31,315599.0,2022-09-13
87.94,90.19,86.18,88.48,296050.0,2022-09-14
88.91,89.15,84.53,85.1,217557.0,2022-09-15
85.16,86.59,84.27,85.11,72566.0,2022-09-16
85.21,86.22,82.1,85.73,34430.0,2022-09-19
85.61,86.45,83.52,84.45,17105.0,2022-09-20
84.25,86.68,82.49,82.94,325553.0,2022-09-21
83.07,86.0,82.4,83.49,287041.0,2022-09-22
83.54,83.92,78.04,78.74,316160.0,2022-09-23
79.23,80.31,76.25,76.71,269230.0,2022-09-26
76.47,79.51,76.42,78.5,271109.0,2022-09-27
78.08,82.34,76.55,82.15,310455.0,2022-09-28
81.9,82.94,80.34,81.23,269124.0,2022-09-29
81.74,82.56,79.14,79.49,237146.0,2022-09-30
81.02,84.56,80.87,83.63,267875.0,2022-10-03
83.22,86.98,83.22,86.52,281912.0,2022-10-04
86.37,88.42,85.42,87.76,312995.0,2022-10-05
88.08,89.07,87.04,88.45,216395.0,2022-10-06
88.93,93.31,88.0,92.64,385917.0,2022-10-07
93.48,93.64,90.54,91.13,260430.0,2022-10-10
91.14,91.35,87.91,89.35,295289.0,2022-10-11
88.67,90.07,86.28,87.27,303948.0,2022-10-12
87.08,89.66,85.56,89.11,267171.0,2022-10-13
89.27,89.73,85.2,85.61,216029.0,2022-10-14
85.59,87.12,84.61,85.46,143488.0,2022-10-17
85.7,86.51,82.09,82.82,83685.0,2022-10-18
83.69,86.2,82.59,85.55,38236.0,2022-10-19
85.94,88.17,85.22,85.98,12307.0,2022-10-20
85.07,85.9,83.15,85.05,259938.0,2022-10-21
85.24,85.92,82.63,84.58,238458.0,2022-10-24
84.88,86.03,83.06,85.32,226337.0,2022-10-25
85.07,88.41,84.14,87.91,271474.0,2022-10-26
88.26,89.79,87.33,89.08,273811.0,2022-10-27
88.67,88.76,87.08,87.9,241417.0,2022-10-28
88.39,88.65,85.3,86.53,266337.0,2022-10-31
86.43,89.45,85.92,88.37,257438.0,2022-11-01
88.62,90.36,87.72,90.0,262526.0,2022-11-02
89.35,89.67,87.6,88.17,224728.0,2022-11-03
87.9,92.87,87.82,92.61,328375.0,2022-11-04
91.0,93.74,90.4,91.79,288712.0,2022-11-07
91.87,92.17,88.52,88.91,311272.0,2022-11-08
88.57,89.24,85.5,85.83,346332.0,2022-11-09
85.85,87.35,84.7,86.47,304387.0,2022-11-10
86.27,90.1,86.18,88.96,266963.0,2022-11-11
89.02,89.84,85.15,85.87,283720.0,2022-11-14
85.25,88.68,84.06,86.92,305969.0,2022-11-15
86.89,87.51,84.2,85.59,203794.0,2022-11-16
85.22,85.45,81.4,81.64,112199.0,2022-11-17
82.09,82.64,77.23,80.08,58706.0,2022-11-18
80.3,80.3,75.08,79.73,13130.0,2022-11-21
80.22,82.36,79.85,80.95,251072.0,2022-11-22
81.08,81.95,76.83,77.94,359616.0,2022-11-23
78.02,79.9,76.22,76.28,250830.0,2022-11-25
75.93,77.84,73.6,77.24,388889.0,2022-11-28
76.54,79.65,76.29,78.2,360911.0,2022-11-29
79.0,81.38,78.4,80.55,273153.0,2022-11-30
